Datetime,Close,High,Low,Open,Volume
2023-05-01 04:00:00+00:00,4191.5,4191.75,4190,4191.25,0
2023-05-01 05:00:00+00:00,4192.5,4194.75,4189.5,4191.5,4698
2023-05-01 06:00:00+00:00,4194.75,4196,4188.5,4192.25,6294
2023-05-01 07:00:00+00:00,4191.25,4195,4189.75,4194.75,6110
2023-05-01 08:00:00+00:00,4186.5,4191.25,4184.75,4191,7214
2023-05-01 09:00:00+00:00,4189.5,4191,4186.25,4186.5,3817
2023-05-01 10:00:00+00:00,4188.25,4190.5,4185.5,4189.25,4483
2023-05-01 11:00:00+00:00,4184.25,4189,4183.25,4188.5,7431
2023-05-01 12:00:00+00:00,4186.75,4188,4182.25,4184.25,14442
2023-05-01 13:00:00+00:00,4194,4197.25,4181.5,4186.75,126728
2023-05-01 14:00:00+00:00,4199.5,4200.75,4187.5,4193.5,202454
2023-05-01 15:00:00+00:00,4193.25,4201.5,4185.5,4199.75,153494
2023-05-01 16:00:00+00:00,4201.75,4206.25,4192.75,4193.25,118271
2023-05-01 17:00:00+00:00,4200.25,4203.25,4196.25,4201.75,87841
2023-05-01 18:00:00+00:00,4190.5,4201.25,4184,4200.5,146418
2023-05-01 19:00:00+00:00,4184.75,4192,4182.25,4190.5,209074
2023-05-01 20:00:00+00:00,4179.5,4188.5,4178.5,4184.75,57363
2023-05-01 22:00:00+00:00,4179.5,4181,4176.5,4179.5,0
2023-05-01 23:00:00+00:00,4179,4181,4178.5,4179.25,3358
2023-05-02 00:00:00+00:00,4177.5,4181.75,4176.25,4179,10536
2023-05-02 01:00:00+00:00,4181,4183.75,4177,4177.5,9623
2023-05-02 02:00:00+00:00,4182.25,4182.25,4179,4181,5698
2023-05-02 03:00:00+00:00,4183.75,4184.25,4182,4182.25,3961
2023-05-02 04:00:00+00:00,4184.25,4185.25,4182.5,4184.25,6134
2023-05-02 05:00:00+00:00,4184.75,4187.5,4183.5,4184,5825
2023-05-02 06:00:00+00:00,4188,4189,4182.5,4184.75,7145
2023-05-02 07:00:00+00:00,4182.25,4191.5,4182,4187.75,18963
2023-05-02 08:00:00+00:00,4179.5,4182.5,4178.5,4182.25,14067
2023-05-02 09:00:00+00:00,4179.75,4183.25,4177.5,4179.25,11645
2023-05-02 10:00:00+00:00,4179.75,4180.75,4175.75,4179.75,10610
2023-05-02 11:00:00+00:00,4179.25,4182.5,4177.75,4180,10345
2023-05-02 12:00:00+00:00,4176.25,4179.25,4174.25,4179.25,19286
2023-05-02 13:00:00+00:00,4167,4178,4165,4176.5,170763
2023-05-02 14:00:00+00:00,4118.5,4169.5,4117.5,4167.25,482493
2023-05-02 15:00:00+00:00,4114.75,4122,4105.5,4118.5,347707
2023-05-02 16:00:00+00:00,4124.5,4126.25,4111.75,4114.75,148028
2023-05-02 17:00:00+00:00,4136.25,4140.75,4122.5,4124.5,140308
2023-05-02 18:00:00+00:00,4139,4139.75,4125.75,4136.25,163176
2023-05-02 19:00:00+00:00,4137.25,4144,4133.25,4139,264197
2023-05-02 20:00:00+00:00,4133.25,4139.25,4132.75,4137,83197
2023-05-02 22:00:00+00:00,4133.5,4135.75,4131.75,4133.25,0
2023-05-02 23:00:00+00:00,4138.25,4138.5,4132.75,4133.75,4197
2023-05-03 00:00:00+00:00,4141.75,4142.75,4135.75,4138.25,7462
2023-05-03 01:00:00+00:00,4140,4142.5,4138.5,4141.75,6010
2023-05-03 02:00:00+00:00,4141.75,4143,4139.75,4139.75,4327
2023-05-03 03:00:00+00:00,4143.25,4143.25,4140.5,4141.75,4056
2023-05-03 04:00:00+00:00,4142.75,4143,4141.25,4143,3264
2023-05-03 05:00:00+00:00,4144.5,4145.75,4142,4142.5,6514
2023-05-03 06:00:00+00:00,4143.75,4145.75,4142.25,4144.25,8758
2023-05-03 07:00:00+00:00,4141.25,4147.75,4141,4144,17924
2023-05-03 08:00:00+00:00,4142,4144.75,4140,4141.75,13238
2023-05-03 09:00:00+00:00,4142.25,4144.25,4139.25,4141.75,7950
2023-05-03 10:00:00+00:00,4141.75,4146.75,4140.5,4142.25,13583
2023-05-03 11:00:00+00:00,4145,4148,4141.25,4141.5,13398
2023-05-03 12:00:00+00:00,4140.5,4149.5,4140,4144.75,28598
2023-05-03 13:00:00+00:00,4149.75,4154.5,4138.5,4140.5,143933
2023-05-03 14:00:00+00:00,4136.5,4152.75,4132.75,4149.75,208231
2023-05-03 15:00:00+00:00,4142.75,4143.25,4130.75,4136.25,135966
2023-05-03 16:00:00+00:00,4149.25,4149.25,4138.25,4142.75,79525
2023-05-03 17:00:00+00:00,4149.5,4153.75,4147,4149.5,75420
2023-05-03 18:00:00+00:00,4150.25,4167,4131,4150,362520
2023-05-03 19:00:00+00:00,4107.5,4159,4105,4150.25,379880
2023-05-03 20:00:00+00:00,4107.5,4117,4095,4107.5,81028
2023-05-03 22:00:00+00:00,4089.5,4090.75,4075.5,4087,0
2023-05-03 23:00:00+00:00,4093.5,4093.75,4086.25,4089.25,10170
2023-05-04 00:00:00+00:00,4096.5,4098.5,4093.25,4093.5,11267
2023-05-04 01:00:00+00:00,4104,4105.25,4095.5,4096.5,12285
2023-05-04 02:00:00+00:00,4111.75,4113,4103.75,4104,12176
2023-05-04 03:00:00+00:00,4112.75,4114.25,4111,4112,6255
2023-05-04 04:00:00+00:00,4115.5,4118,4109.5,4112.75,8154
2023-05-04 05:00:00+00:00,4116.25,4117.75,4113.5,4115.5,7224
2023-05-04 06:00:00+00:00,4112.75,4117,4108,4116.25,11208
2023-05-04 07:00:00+00:00,4113.75,4115.75,4098.25,4113,32425
2023-05-04 08:00:00+00:00,4105,4114,4103.5,4113.75,17541
2023-05-04 09:00:00+00:00,4102,4109.25,4100.75,4105,17883
2023-05-04 10:00:00+00:00,4096.75,4105,4093.75,4101.75,23695
2023-05-04 11:00:00+00:00,4094.25,4097.5,4091,4096.75,25765
